parcelid,bathroomcnt,bedroomcnt,lotsizesquarefeet,finishedSqFt,latitude,longitude,lotsizesquarefeet,yearbuilt,LastSoldPrice
17086869,2,3,7723,1373,34277720,-119217518,7723,1957,230910
17086969,3,3,7381,1994,34281207,-119214064,7381,1957,410792
17087338,2,3,12777,1275,34275392,-119223781,12777,1958,367768
17087659,2,3,6181,1285,34272867,-119209956,6181,1960,57016
17088082,2,4,9203,1561,34276556,-119221434,9203,1962,278937
17088174,2,4,3850,1344,34275304,-119218571,3850,1974,391000
17088404,2.5,2,,1399,34269771,-119215034,,1981,130036
17088641,2.5,3,,1429,34269460,-119202935,,1985,338015
17088994,1,2,,777,34272866,-119198911,,1990,239679
17090186,2,3,7271,1638,34293297,-119168911,7271,1965,406285
17090585,2,4,7431,1734,34297112,-119169130,7431,1977,493000
17090869,3,3,8205,2230,34282542,-119189007,8205,1995,628000
17091069,2,3,6000,1766,34285504,-119192525,6000,1995,320292
17091092,2.5,4,6000,1866,34285192,-119191602,6000,1995,585000
17091192,2,4,11500,1581,34271740,-119178217,11500,1964,275463
17091307,2,4,11710,1669,34274024,-119167058,11710,1964,60088
17091430,2.5,5,7275,1718,34275619,-119177647,7275,1964,281767
17091607,3,4,8400,1988,34271680,-119175136,8400,1964,316258
17091730,3.5,5,7056,2470,34270896,-119180781,7056,1965,317363
17092083,3,4,5533,2457,34272451,-119186108,5533,1986,601000
17092710,3,4,6325,2477,34278339,-119193139,6325,1999,534680
17092810,3,4,6105,2048,34277542,-119193355,6105,1998,608000
17092856,2,3,7920,1244,34280679,-119186013,7920,1959,245123
17092956,2,3,7920,1244,34277503,-119185802,7920,1959,253532
17093317,2,4,6159,1550,34277441,-119186801,6159,1963,61682
17093555,3,4,6386,1854,34280424,-119179472,6386,1968,78559
17093655,2,3,6437,1502,34277875,-119177561,6437,1972,252923
17093678,2.5,4,6739,2343,34279050,-119179776,6739,1968,435456
17093778,2.5,5,8886,2083,34279172,-119183740,8886,1968,88590
17093924,2,3,6300,1502,34280827,-119184952,6300,1975,203965
17094047,3,4,6379,2622,34278824,-119176282,6379,1991,535297
17094138,2,3,14810,1556,34285531,-119160781,14810,1960,438590
17094421,2,3,6060,1359,34281607,-119161429,6060,1973,59065
17094444,2,3,7548,1350,34281330,-119163381,7548,1974,86055
17094690,0,0,4509,1140,34277100,-119164000,4509,1984,253000
17094790,2,2,4643,1274,34279684,-119168741,4643,1987,323978
17095833,2.5,4,9103,2170,34296168,-119153520,9103,1994,333244
17096600,2,3,5275,1433,34338452,-119092803,5275,1989,344774
17096764,2,2,7824,1380,34338730,-119084213,7824,1959,56124
17097242,2,3,8450,1331,34360608,-119065780,8450,1954,51273
17097342,1,2,5820,1372,34361422,-119063209,5820,1930,122445
17098189,2,4,6830,1492,34376362,-119064108,6830,1963,258906
17098427,2,3,13045,2136,34369474,-119057018,13045,1961,396427
17098496,2,4,10000,1895,34368347,-119056979,10000,1963,373097
17098688,0,0,6250,1936,34363223,-119054804,6250,1961,84840
17098963,2,3,5885,1146,34360139,-119055706,5885,1984,94582
17099221,1,2,2730,768,34354462,-119055994,2730,1973,185197
17099433,1,3,7417,840,34351569,-119055324,7417,1936,161373
17100192,2,4,8409,1877,34351086,-119089884,8409,1966,455520
17100268,2,3,4121,1381,34343735,-119080682,4121,1986,234634
17100444,2,3,6569,1101,34340801,-119079610,6569,1956,47853
17100490,2,4,6850,1184,34340074,-119080702,6850,1954,47974
17100559,2,3,5196,1197,34341907,-119079090,5196,1993,225477
17100805,2,4,6189,1500,34348239,-119087780,6189,1976,364300
17101256,2,4,7594,1558,34353550,-119070604,7594,1926,274013
17101279,0,0,8610,1978,34353334,-119068130,8610,,350000
17101581,1,3,4900,1319,34354305,-119060131,4900,1890,113006
17101840,0,0,5000,1300,34350637,-119062900,5000,,244812
17101878,0,0,5000,2226,34350504,-119059027,5000,,420000
17102211,2,4,6780,1547,34338062,-119078314,6780,1956,217716
17102429,1.5,2,7400,1554,34354313,-119076405,7400,1965,62914
17102621,2,3,6059,1202,34351625,-119075146,6059,1961,73752
17102697,2.5,3,3762,1541,34348435,-119071334,3762,1987,182140
17102811,1,3,6750,1093,34347059,-119072673,6750,1950,41726
17104267,2.5,3,22020,2256,34246429,-119075276,22020,1961,164110
17104359,3,5,28890,2479,34245975,-119079885,28890,1964,901654
17104528,2.5,4,20800,2419,34252160,-119065478,20800,1966,177260
17104628,3,5,20194,4264,34250741,-119061748,20194,1967,843805
17105313,4.5,5,152896,4002,34284640,-119001951,152896,2001,960894
17105550,3,4,52172,3207,34271805,-118987939,52172,1991,710970
17105754,3.5,5,9407,3770,34239497,-119090265,9407,1999,664968
17106426,1,2,2613,882,34263258,-119221210,2613,1971,140528
17106526,1,2,2613,882,34263183,-119220623,2613,1971,208000
17106626,1,2,2178,882,34262643,-119223263,2178,1971,135862
17106726,1,2,2178,882,34261930,-119220746,2178,1971,208000
17107650,2.5,4,5611,2071,34276838,-119151907,5611,1993,329861
17107796,2.5,4,5174,1721,34276926,-119149716,5174,1998,505000
17108119,2,4,7390,1192,34273394,-119158516,7390,1962,149134
17108219,2,3,5476,1464,34276144,-119154821,5476,1995,482000
17108342,2,2,6000,1274,34275276,-119162139,6000,1987,208603
17108365,2.5,4,6844,1634,34275603,-119161435,6844,1987,304002
17108511,3,4,7462,2510,34270372,-119164761,7462,1977,174968
17108803,2.5,3,4067,1319,34272119,-119159405,4067,1994,269752
17108926,2.5,4,3420,1469,34270722,-119157866,3420,1995,388000
17109097,2,3,1755,1110,34262068,-119175094,1755,1965,225540
17109335,2.5,3,4791,1484,34260236,-119175506,4791,1980,343000
17109581,2,3,6700,1660,34267596,-119166862,6700,1984,323978
17109604,2.5,4,6326,2415,34266578,-119165392,6326,1984,554000
17109704,2,4,6752,1430,34267272,-119179853,6752,1964,263019
17109927,2,4,6043,1618,34259682,-119191842,6043,1966,467000
17110080,2,3,6334,1388,34259438,-119188044,6334,1973,88733
17110449,1.5,3,1527,1182,34263919,-119194216,1527,1976,103605
17110572,1.5,3,1545,1224,34262439,-119192525,1545,1976,206968
17110887,2.5,4,6420,1858,34256165,-119189369,6420,1980,223653
17113479,2,4,6600,1430,34268942,-119175585,6600,1964,58046
17114039,2,2,6000,1047,34254579,-119202962,6000,1985,234776
17114162,2,3,8784,1272,34257288,-119196044,8784,1958,194654
17114793,2,3,6200,1284,34261743,-119208051,6200,1963,427000
17115116,2.5,5,6210,1768,34259451,-119202495,6210,1965,84703
17115392,2,3,2178,1057,34263041,-119197898,2178,1978,151213
17115515,2.5,3,2178,1333,34261519,-119197562,2178,1978,315000
17115684,2,3,3682,1449,34263757,-119209161,3682,1976,270053
17116687,2,3,,1135,34262138,-119217562,,1974,99282
17116787,2,3,,1135,34261168,-119216673,,1974,109732
17117469,2,4,6309,1733,34225441,-119193245,6309,1961,187529
17117960,2,4,7404,1278,34224679,-119185905,7404,1974,144064
17118074,2,3,4791,1431,34227471,-119184914,4791,1975,313311
17118374,2.5,4,6534,2032,34228579,-119190256,6534,1978,173640
17118666,3,5,6760,2723,34233843,-119184921,6760,1989,560240
17118689,2,4,6747,2055,34234911,-119184371,6747,1991,382535
17118812,2,2,,1362,34221375,-119178578,,1990,225540
17118881,2,3,4000,1849,34230394,-119191522,4000,1999,314724
17119334,3,5,9960,3088,34229702,-119187831,9960,1998,395089
17119357,3,5,10996,2384,34234521,-119187105,10996,1996,345524
17119503,2.5,4,7452,1721,34223171,-119183420,7452,1987,413768
17119701,1,3,7200,1216,34226665,-119172035,7200,1952,362000
17119747,1.5,3,6420,1348,34225609,-119174151,6420,1955,45794
17119993,2,3,6016,1166,34220183,-119164128,6016,1962,250822
17120193,2,4,6016,1308,34223133,-119162181,6016,1962,57184
17120316,4,4,9352,1597,34227083,-119166746,9352,1973,102718
17121025,2,4,6777,1430,34241722,-119157268,6777,1955,132627
17121171,2,4,6300,1178,34239155,-119154081,6300,1956,308491
17122226,0,0,35000,3488,34230021,-119166311,35000,1955,390000
17122643,1,1,41759,632,34227135,-119133918,41759,1988,535259
17123393,2.5,5,7380,2224,34239854,-119049704,7380,1970,322163
17123692,2,3,20000,1284,34244160,-119041989,20000,1954,506350
17123876,2,4,7000,1960,34241335,-119033177,7000,1973,84583
17124022,3,4,9887,2600,34242380,-119033922,9887,1976,650735
17124114,3,5,8273,2971,34241990,-119038868,8273,1978,594272
17124214,3,4,9345,2600,34243663,-119034397,9345,1978,212250
17124337,2,4,8848,1999,34237855,-119038455,8848,1981,237947
17124437,2.5,4,,1928,34231774,-119089962,,1997,244697
17124911,4.5,5,55321,5265,34232113,-119098828,55321,1998,1463452
17125561,2,3,9880,2104,34241552,-119030770,9880,1964,504780
17125691,2,4,17940,2404,34246139,-119027708,17940,1961,271682
17125829,2.5,4,10000,2882,34240014,-119024793,10000,1980,289609
17126075,2,2,,945,34245900,-119024000,,1997,68925
17126212,2,3,22327,1980,34248246,-119045209,22327,1976,646000
17126265,1.5,2,66676,1560,34250788,-119040824,66676,1961,104578
17126991,2,3,3920,1496,34223829,-119072641,3920,1975,345000
17127280,2,3,7952,1316,34234795,-119053671,7952,1961,455448
17128017,3,4,9455,2217,34237927,-119059648,9455,1990,488506
17128728,2,3,4180,1058,34215717,-118996641,4180,1978,354952
17129139,2,3,4494,1328,34217515,-118999265,4494,1989,319699
17129305,0,0,4425,1464,34224075,-119011603,4425,1979,138831
17129405,0,0,4245,1536,34224932,-119012897,4245,1978,235590
17130664,1.5,3,11300,2027,34260199,-118999925,11300,1964,337714
17130809,1,4,4500,998,34219641,-119035802,4500,1940,21380
17131342,0,0,7500,2040,34215996,-119041025,7500,1977,261709
17132819,2,3,7200,1344,34223914,-119068543,7200,1957,443000
17132911,2,3,8059,1772,34226842,-119059815,8059,1978,526000
17133783,2,4,8751,1386,34231691,-119043718,8751,1961,352292
17133806,2,4,8240,1386,34231058,-119044833,8240,1961,433216
17133943,2,3,9100,1864,34228629,-119040515,9100,1965,291122
17134043,2,3,7944,1528,34229754,-119041686,7944,1964,444166
17134250,2,3,7100,1500,34232006,-119040508,7100,1968,268540
17134519,2,3,9951,1809,34223825,-119050921,9951,1969,408126
17134680,1.5,3,2829,1673,34223028,-119048634,2829,1967,256973
17134703,1,1,2228,812,34222555,-119048541,2228,1967,190206
17134803,2.5,4,8312,2377,34227269,-119044108,8312,1967,456121
17134926,2.5,5,7602,2632,34229816,-119050224,7602,1971,571086
17135310,2.5,3,1742,1467,34221738,-119047389,1742,1977,211125
17135410,2,3,2178,1244,34219893,-119045197,2178,1975,283072
17135433,2,3,7205,1772,34224849,-119044499,7205,1978,412475
17135556,2,2,3743,1232,34225324,-119039013,3743,1979,177782
17135708,2.5,2,435,1370,34234783,-119042087,435,1980,152230
17135846,2.5,4,7171,2052,34222135,-119043226,7171,1985,544172
17135876,2,4,6598,1306,34230411,-119026514,6598,1960,433000
17135999,2,3,6344,1216,34227500,-119025831,6344,1960,53932
17136099,2,4,8900,1690,34221010,-119031032,8900,1961,81935
17136199,2,4,7000,1390,34222070,-119033587,7000,1962,302972
17136322,2,3,7181,1217,34237884,-119028717,7181,1964,237524
17136345,2,3,7200,1216,34224079,-119033587,7200,1964,375904
17136491,2,3,6700,1391,34236759,-119033769,6700,1964,61103
17136737,2,3,7199,1647,34236649,-119026468,7199,1970,83414
17137359,2,4,7007,1429,34229760,-119030806,7007,1979,425210
17137482,2.5,3,1358,1522,34224531,-119033868,1358,1981,407991
17138066,2,4,9344,1866,34236282,-119015955,9344,1965,344208
17138512,2,4,7232,1754,34231510,-119018607,7232,1970,421645
17138635,2,4,8113,1754,34226559,-119023719,8113,1973,343515
17138758,3.5,4,7701,2572,34233958,-119018494,7701,1976,314424
17138804,3.5,4,7000,2281,34234223,-119023053,7000,1978,339134
17138919,2,2,2178,1185,34217497,-118990922,2178,1978,252132
17139019,2,2,2178,1829,34217132,-118988575,2178,1978,485000
17139142,2,2,2178,1070,34219958,-118984008,2178,1978,255126
17139988,2,3,7405,1292,34226351,-118983853,7405,1979,462594
17140088,3,5,6005,2105,34221337,-118999150,6005,1970,343993
17140211,2,3,2153,1832,34223572,-118990861,2153,1974,304179
17140311,2,3,2153,1498,34223301,-118989946,2153,1974,85590
17140411,2,2,2917,1309,34222573,-118988915,2917,1984,270534
17140434,2,3,2415,1498,34221157,-118989694,2415,1974,87465
17140457,2,2,1570,887,34225569,-118985182,1570,1976,62612
17140557,2,2,1278,887,34223554,-118984948,1278,1974,304000
17140657,2,2,1867,1070,34220885,-118990905,1867,1977,222336
17140757,2,3,2178,1498,34221199,-118995605,2178,1977,218685
17140857,2,2,2613,1108,34219430,-118995652,2613,1977,50308
17141303,2.5,4,8435,2032,34226405,-118992768,8435,1977,131005
17141595,2,3,6341,1582,34232114,-118987576,6341,1983,215452
17141787,2,3,4470,1058,34224087,-119005611,4470,1978,366122
17141887,2,4,6504,1574,34236851,-118990991,6504,1978,296737
17142087,2,3,5860,1281,34225816,-119001327,5860,1979,409716
17142187,2,3,6227,1281,34225236,-118995319,6227,1979,184182
17142410,2,3,6089,1292,34235582,-118993199,6089,1981,293880
17142633,2.5,4,6033,2190,34232069,-118995951,6033,1986,558907
17142856,2,3,6600,1459,34235797,-118985462,6600,1985,521000
17142979,2.5,3,6215,1719,34235365,-118999165,6215,1985,521000
17143647,3,4,4887,1992,34223208,-118998092,4887,1993,357036
17143839,2,3,3967,1325,34227235,-118997299,3967,1994,250201
17144384,3.5,5,27891,3850,34242789,-118968624,27891,2001,1219000
17144430,3,4,25444,2924,34230389,-118982630,25444,1994,1000215
17144980,2,5,6510,2194,34222435,-119197552,6510,1971,322202
17145203,3,4,6969,3143,34220510,-119203201,6969,1987,426661
17145349,2,2,4200,1359,34222584,-119203297,4200,1989,245534
17145572,3.5,4,7097,2624,34224714,-119205931,7097,1989,192724
17145795,2,4,7915,1950,34228568,-119196734,7915,1992,543000
17145918,2,3,8021,1973,34227072,-119209499,8021,1996,308250
17146470,2.5,3,7127,1382,34218611,-119199571,7127,1965,360110
17146762,2,5,6458,1958,34216323,-119201352,6458,1969,390709
17146931,2.5,3,3049,1561,34215883,-119194245,3049,1977,119740
17147031,3,4,7573,2711,34211425,-119201061,7573,1986,348991
17147131,2.5,4,7448,2211,34210553,-119206556,7448,1985,279219
17147446,3,4,7024,2312,34208661,-119194656,7024,1988,390252
17147902,2,3,40040,2052,34202201,-119195210,40040,1935,150719
17148205,2.5,4,9880,2594,34185999,-119206683,9880,1969,477000
17148305,2,3,6242,1197,34182216,-119195250,6242,1960,67400
17148474,2,3,6150,1524,34182885,-119198743,6150,1962,322202
17148620,2,5,6150,1693,34182888,-119199072,6150,1962,68291
17148720,4,4,6000,1845,34183672,-119204223,6000,1962,323855
17148843,2,4,6000,1419,34183730,-119205940,6000,1965,276351
17148943,2.5,3,3385,1523,34194812,-119198166,3385,1983,167639
17149230,2,4,7468,1863,34193898,-119219488,7468,1975,114546
17149307,2,3,6359,1476,34192372,-119217119,6359,1975,197421
17149453,2,3,6001,1414,34192712,-119215652,6001,1976,97774
17149676,1.5,2,1306,1051,34191596,-119209686,1306,1980,252954
17149968,2,2,6187,1441,34193741,-119201835,6187,1982,249453
17150037,2,3,7488,1374,34194574,-119219145,7488,1993,270065
17150260,3,4,6000,2152,34195085,-119201586,6000,1997,429606
17150329,3,5,9100,2440,34194087,-119212692,9100,1999,510160
17150815,2,3,6152,1253,34187109,-119197883,6152,1974,215431
17150915,1.5,2,2178,916,34187214,-119201650,2178,1973,114983
17151138,2.5,3,6709,2112,34189918,-119194707,6709,1984,432000
17151161,3.5,3,14282,2055,34189170,-119194910,14282,1984,291726
17151468,2,4,4894,1588,34183106,-119214710,4894,1969,313526
17151614,2,2,2550,1306,34182397,-119216642,2550,1973,196494
17151737,2,4,7275,1650,34184307,-119213419,7275,1976,205971
17151860,2,4,6000,1599,34189009,-119213285,6000,1974,254775
17152083,2,4,7479,1678,34188735,-119214867,7479,1977,259872
17152804,3,4,2800,2192,34180410,-119227969,2800,1971,110078
17153164,2,4,2800,1804,34181676,-119230419,2800,1976,144693
17153233,2,3,2800,1620,34182247,-119229162,2800,1976,819383
17153386,2,2,,2164,34183494,-119226389,,1992,439502
17154344,2,2,3920,1151,34179349,-119195678,3920,1970,59572
17155205,2,3,4138,1282,34178636,-119203588,4138,1972,307550
17155305,1,2,1742,892,34179551,-119219803,1742,1971,172000
17155428,1,2,1742,856,34180959,-119218107,1742,1971,74554
17155751,1,2,1742,892,34180606,-119214132,1742,1971,120284
17155874,1,2,1742,806,34180065,-119214283,1742,1971,38936
17155974,2,3,2613,1128,34179222,-119204069,2613,1972,149131
17156074,2,3,2613,1196,34180203,-119206220,2613,1977,217000
17156097,1.5,2,2613,1268,34180334,-119204385,2613,1977,125858
17156197,2,2,2178,967,34176209,-119204234,2178,1973,151976
17156466,2,2,3920,1002,34180970,-119207983,3920,1978,275383
17156689,2,2,1552,1255,34180965,-119211661,1552,1986,184936
17156789,2.5,3,1552,1566,34179507,-119213241,1552,1986,320058
162960663,3,4,5296,2442,34177520,-119216381,5296,1989,370206
17157340,3.5,4,4072,2638,34192730,-119241316,4072,2003,983000
17157493,2.5,3,4000,1817,34191296,-119241327,4000,1961,104204
17157638,2,3,4000,1138,34189442,-119238780,4000,1973,595000
17157898,3,3,4148,3076,34185958,-119239719,4148,1988,916760
17157959,2,3,10436,1680,34185076,-119240536,10436,1967,703786
17158112,2,2,1306,918,34194900,-119246000,1306,1976,179336
17158741,2,2,,1369,34180188,-119234100,,1987,342119
17159834,1,2,6500,1094,34210467,-119183175,6500,1949,196548
17160302,2,6,6302,1768,34205243,-119187346,6302,1952,61101
17160540,2,3,6000,1322,34207226,-119178504,6000,1939,45807
17160563,2,2,6500,1272,34206671,-119179403,6500,1941,296787
17160601,0,0,8755,2592,34204721,-119177795,8755,1939,81489
17160647,3,4,11929,3094,34216597,-119178634,11929,1960,461828
17160685,2.5,3,7900,1842,34214651,-119182413,7900,1961,237794
17161014,2,3,6960,1878,34217783,-119186066,6960,1974,443000
17161190,2,2,4856,825,34207111,-119173178,4856,1949,148704
17161236,3,4,4800,1811,34206767,-119171438,4800,1950,95154
17161984,1.5,2,6000,1082,34201817,-119165742,6000,1961,94603
17162450,2,4,4407,1260,34202201,-119160060,4407,1964,90884
17163335,1,2,7000,1102,34196965,-119181788,7000,1908,334000
17163585,1,3,5150,1118,34190487,-119185702,5150,1944,235720
17163837,2,3,6451,1538,34204073,-119193363,6451,1978,253787
17163983,2,3,6003,1358,34191818,-119192629,6003,1981,183688
17164358,2.5,3,,1750,34193979,-119190361,,1993,245904
17164458,2.5,2,,1077,34193241,-119179142,,1992,183327
17164611,2.5,4,6634,1928,34189886,-119193500,6634,1951,312867
17164734,2,5,6167,1871,34186831,-119190997,6167,1951,95882
17164834,1,2,6343,1062,34189055,-119185568,6343,1947,36622
17165992,2,4,6407,1233,34181562,-119186631,6407,1955,245596
17166353,2,3,6600,1071,34182174,-119184228,6600,1958,45809
17166754,2,3,6500,1108,34185078,-119173844,6500,1943,204060
17167052,0,0,6100,1459,34180513,-119171259,6100,1954,55735
17167075,2,3,8000,1384,34182322,-119168919,8000,1959,373000
17167259,2,3,6000,1500,34178998,-119173844,6000,1950,238473
17167359,1,3,6000,1385,34179289,-119169287,6000,1950,268502
17167581,2,3,6100,1264,34175199,-119173730,6100,1954,179336
17167727,2,3,5750,1504,34173915,-119168348,5750,1954,239324
17167750,3,3,6550,1558,34173610,-119170138,6550,1954,345000
17168211,2,3,6000,1502,34171682,-119182286,6000,1955,57377
17168364,2,3,6000,1041,34168089,-119179610,6000,1957,149090
17168648,2,3,6119,1792,34170943,-119193339,6119,1959,55997
17168909,2,3,6479,1729,34167117,-119180492,6479,1959,56658
17169270,2,3,6798,1373,34168306,-119182518,6798,1959,213788
17169408,2,3,6000,1373,34166475,-119184191,6000,1959,50909
17169531,2,3,6120,1128,34178352,-119188630,6120,1960,51256
17169784,2,3,6148,1252,34161294,-119183551,6148,1959,50620
17170729,1,3,2613,1012,34177800,-119192000,2613,1971,119138
17171094,2,3,2450,2200,34150853,-119214664,2450,1940,432169
17171140,2,3,2450,1296,34150384,-119214028,2450,1975,345052
17171163,1,1,2450,371,34149593,-119214350,2450,1953,352663
17171362,2.5,4,2450,1967,34151580,-119216123,2450,1978,139553
17171385,2,2,2450,1139,34151718,-119215251,2450,1970,108647
17171477,2,4,4966,1696,34156121,-119219325,4966,1973,100810
17171546,2.5,3,2450,2220,34154215,-119218974,2450,1980,825000
17171569,3,4,2450,2661,34153898,-119218683,2450,1995,392377
17171592,0,3,2450,2239,34153748,-119218035,2450,1988,390653
17171990,0,0,3922,2208,34161266,-119226018,3922,1948,136596
17172725,2,3,1750,1306,34156958,-119215578,1750,1977,430334
17172771,1,2,2450,680,34159006,-119219123,2450,1955,440347
17173828,2,2,,1286,34143206,-119191746,,1987,223783
17173851,2,4,11396,1848,34153345,-119194015,11396,1952,63741
17173981,1.5,3,6300,1448,34152232,-119190423,6300,1953,282867
17174004,2,3,6032,1536,34154418,-119185735,6032,1953,210283
17174119,2,4,6511,1840,34149898,-119192199,6511,1955,311860
17174287,2,3,6019,1245,34149885,-119188224,6019,1957,48424
17174462,2.5,3,1349,1670,34144519,-119189639,1349,1993,271726
17175198,2,3,1306,968,34144662,-119195600,1306,1973,183320
17175544,2.5,3,2138,1780,34145260,-119198222,2138,1978,423921
17175644,2,2,2178,1198,34171875,-119231054,2178,1974,421513
17175744,2.5,3,2178,1485,34169614,-119229815,2178,1976,531642
17177531,3,5,5610,2336,34209084,-119163233,5610,1998,285580
17179539,1,3,4000,1023,34204434,-119150549,4000,1963,38643
17179760,2,4,4860,1260,34200478,-119156509,4860,1969,61453
17180297,1,3,5700,972,34171626,-119174966,5700,1949,114982
17180389,1,2,5700,779,34170657,-119173845,5700,1949,90464
17180527,1,3,6080,1040,34169544,-119172172,6080,1949,181696
17180673,1.5,3,6050,1635,34169800,-119169512,6050,1957,230706
17181111,2,4,6000,1276,34166492,-119166897,6000,1966,372292
17181287,2,3,6000,1513,34162752,-119168073,6000,1966,325683
17181393,2,4,6400,1180,34174108,-119149608,6400,1963,141323
17181523,2,4,6499,1576,34176543,-119153086,6499,1971,213908
17182107,2,4,6702,1347,34181794,-119151620,6702,1976,360000
17182207,1,2,4356,792,34178971,-119155551,4356,1975,124284
17182276,2,4,7549,1611,34178640,-119158331,7549,1980,240275
17182963,2,3,6091,1197,34169869,-119165821,6091,1969,71055
17183101,2,3,6000,1760,34160557,-119163036,6000,1966,121499
17183147,2,3,6000,1416,34158233,-119161332,6000,1971,199557
17183508,2.5,4,6350,2270,34164774,-119163858,6350,1978,164293
17183608,2.5,4,6350,2550,34165118,-119162698,6350,1978,402836
17184035,0,0,6021,1896,34151900,-119178000,6021,,325166
17184227,1.5,3,6000,1120,34155987,-119173293,6000,1971,49471
17184395,2,4,6261,1576,34152234,-119182226,6261,1982,230614
17184518,2,4,6087,1615,34156453,-119170874,6087,1973,80793
17184910,2,4,6149,1576,34157456,-119170976,6149,1977,182687
17185271,2,3,,1344,34160007,-119173931,,1981,225000
17186063,2,4,6303,1587,34158185,-119154203,6303,1969,152071
17186378,2.5,4,6969,1919,34161339,-119154145,6969,1979,171167
17186401,2.5,3,9654,1768,34172914,-119150814,9654,1979,150069
17186800,3,4,6100,1781,34159714,-119149655,6100,1968,128101
17186946,2,3,6100,1416,34156857,-119149683,6100,1968,267864
17187169,2.5,3,1397,1959,34168454,-119150166,1397,1982,234518
17187246,2,3,3479,1100,34163574,-119144890,3479,1997,185913
17187563,2.5,4,7200,2269,34209918,-119011801,7200,1981,355765
17190110,2,3,1742,1197,34142016,-119186801,1742,1977,223858
17190506,0,0,5526,1440,34202426,-118994977,5526,1972,74867
17190752,2,2,5655,1211,34199163,-118986182,5655,1985,351778
17190944,2,2,6432,1277,34199846,-118977331,6432,1987,390156
17191082,3,3,,1473,34202552,-118982665,,1988,238742
17191182,2.5,2,,1365,34201820,-118984418,,1989,82334
17192024,2.5,3,6519,3042,34189072,-118955036,6519,1979,442977
17192316,3,4,5962,2967,34188262,-118955900,5962,1981,660000
17193454,3.5,4,6288,2391,34171187,-118972132,6288,2000,519215
17193577,4,5,15325,4015,34180799,-118983078,15325,2003,997746
17194069,3,4,11110,3821,34168356,-118987898,11110,2001,959402
